,schedule_date,schedule_season,schedule_week,team_x,score,opponent_score,margin,home_team,id,game_number,team_y,passing_yards,rushing_yards
0,2016-09-08,2016,1,CAR,20.0,21.0,-1.0,DEN,2016CAR1,1,CAR,194,157
1,2016-09-08,2016,1,DEN,21.0,20.0,1.0,DEN,2016DEN1,1,DEN,178,148
2,2016-09-11,2016,1,ARI,21.0,23.0,-2.0,ARI,2016ARI1,1,ARI,271,92
3,2016-09-11,2016,1,ATL,24.0,31.0,-7.0,ATL,2016ATL1,1,ATL,334,52
4,2016-09-11,2016,1,BAL,13.0,7.0,6.0,BAL,2016BAL1,1,BAL,258,83
5,2016-09-11,2016,1,BUF,7.0,13.0,-6.0,BAL,2016BUF1,1,BUF,111,65
6,2016-09-11,2016,1,CHI,14.0,23.0,-9.0,HOU,2016CHI1,1,CHI,216,73
7,2016-09-11,2016,1,CIN,23.0,22.0,1.0,NYJ,2016CIN1,1,CIN,366,57
8,2016-09-11,2016,1,CLE,10.0,29.0,-19.0,PHI,2016CLE1,1,CLE,190,120
9,2016-09-11,2016,1,DAL,19.0,20.0,-1.0,DAL,2016DAL1,1,DAL,227,101
10,2016-09-11,2016,1,DET,39.0,35.0,4.0,IND,2016DET1,1,DET,340,116
11,2016-09-11,2016,1,HOU,23.0,14.0,9.0,HOU,2016HOU1,1,HOU,231,129
12,2016-09-11,2016,1,IND,35.0,39.0,-4.0,IND,2016IND1,1,IND,385,82
13,2016-09-11,2016,1,JAX,23.0,27.0,-4.0,JAX,2016JAX1,1,JAX,320,48
14,2016-09-11,2016,1,MIA,10.0,12.0,-2.0,SEA,2016MIA1,1,MIA,186,64
15,2016-09-11,2016,1,MIN,25.0,16.0,9.0,TEN,2016MIN1,1,MIN,236,65
16,2016-09-11,2016,1,NYG,20.0,19.0,1.0,DAL,2016NYG1,1,NYG,207,113
17,2016-09-11,2016,1,NYJ,22.0,23.0,-1.0,NYJ,2016NYJ1,1,NYJ,189,152
18,2016-09-11,2016,1,OAK,35.0,34.0,1.0,NO,2016OAK1,1,OAK,319,167
19,2016-09-11,2016,1,PHI,29.0,10.0,19.0,PHI,2016PHI1,1,PHI,278,133
20,2016-09-11,2016,1,SEA,12.0,10.0,2.0,SEA,2016SEA1,1,SEA,258,112
21,2016-09-11,2016,1,TEN,16.0,25.0,-9.0,TEN,2016TEN1,1,TEN,271,64
22,2016-09-12,2016,1,LAR,0.0,28.0,-28.0,SF,2016LAR1,1,LAR,130,65
23,2016-09-12,2016,1,PIT,38.0,16.0,22.0,WAS,2016PIT1,1,PIT,300,147
