,game_number,team,passing_yards,rushing_yards
0,1,ARI,271,92
1,1,ATL,334,52
2,1,BAL,258,83
3,1,BUF,111,65
4,1,CAR,194,157
5,1,CHI,216,73
6,1,CIN,366,57
7,1,CLE,190,120
8,1,DAL,227,101
9,1,DEN,178,148
10,1,DET,340,116
11,1,GNB,199,95
12,1,HOU,231,129
13,1,IND,385,82
14,1,JAX,320,48
15,1,KAN,363,83
16,1,LAR,130,65
17,1,MIA,186,64
18,1,MIN,236,65
19,1,NOR,423,88
20,1,NWE,264,106
21,1,NYG,207,113
22,1,NYJ,189,152
23,1,OAK,319,167
24,1,PHI,278,133
25,1,PIT,300,147
26,1,SDG,243,155
27,1,SEA,258,112
28,1,SFO,170,150
29,1,TAM,281,90
30,1,TEN,271,64
31,1,WAS,329,55
32,2,ARI,315,105
33,2,ATL,396,139
34,2,BAL,302,80
35,2,BUF,307,86
36,2,CAR,353,176
37,2,CHI,235,64
38,2,CIN,366,46
39,2,CLE,260,145
40,2,DAL,292,102
41,2,DEN,266,134
42,2,DET,260,137
43,2,GNB,213,83
44,2,HOU,268,97
45,2,IND,197,83
46,2,JAX,329,69
47,2,KAN,186,119
48,2,LAR,239,64
49,2,MIA,387,70
50,2,MIN,286,30
51,2,NOR,263,41
52,2,NWE,324,161
53,2,NYG,368,64
54,2,NYJ,374,123
55,2,OAK,299,155
56,2,PHI,190,100
57,2,PIT,259,124
58,2,SDG,220,150
59,2,SEA,254,67
60,2,SFO,243,65
61,2,TAM,243,85
62,2,TEN,238,139
63,2,WAS,364,82
64,3,ARI,287,88
65,3,ATL,240,217
66,3,BAL,214,84
67,3,BUF,119,208
68,3,CAR,265,105
69,3,CHI,317,78
70,3,CIN,206,143
71,3,CLE,279,169
72,3,DAL,248,199
73,3,DEN,312,52
74,3,DET,385,50
75,3,GNB,205,123
76,3,HOU,196,109
77,3,IND,331,93
78,3,JAX,194,48
79,3,KAN,237,72
80,3,LAR,190,137
81,3,MIA,319,115
82,3,MIN,171,58
83,3,NOR,376,115
84,3,NWE,103,185
85,3,NYG,350,120
86,3,NYJ,188,117
87,3,OAK,249,123
88,3,PHI,301,125
89,3,PIT,257,29
90,3,SDG,326,37
91,3,SEA,308,127
92,3,SFO,119,135
93,3,TAM,405,83
94,3,TEN,214,181
95,3,WAS,327,90
96,4,ARI,325,118
97,4,ATL,503,90
98,4,BAL,298,130
99,4,BUF,246,134
100,4,CAR,337,49
101,4,CHI,302,114
102,4,CIN,296,77
103,4,CLE,223,163
104,4,DAL,245,194
105,4,DEN,238,89
106,4,DET,213,66
107,4,GNB,259,147
108,4,HOU,254,115
109,4,IND,234,94
110,4,JAX,207,136
111,4,KAN,287,87
112,4,LAR,266,41
113,4,MIA,189,62
114,4,MIN,262,104
115,4,NOR,207,83
116,4,NWE,205,90
117,4,NYG,261,78
118,4,NYJ,261,58
119,4,OAK,199,62
120,4,PHI,238,116
121,4,PIT,300,149
122,4,SDG,321,38
123,4,SEA,309,66
124,4,SFO,196,106
125,4,TAM,179,72
126,4,TEN,202,124
127,4,WAS,183,145
128,5,ARI,124,172
129,5,ATL,267,122
130,5,BAL,210,118
131,5,BUF,124,193
132,5,CAR,278,136
133,5,CHI,397,125
134,5,CIN,269,96
135,5,CLE,249,27
136,5,DAL,227,180
137,5,DEN,223,84
138,5,DET,180,80
139,5,GNB,294,78
140,5,HOU,184,59
141,5,IND,322,98
142,5,JAX,271,54
143,5,KAN,224,183
144,5,LAR,271,102
145,5,MIA,191,51
146,5,MIN,271,96
147,5,NOR,465,63
148,5,NWE,406,98
149,5,NYG,199,43
150,5,NYJ,255,72
151,5,OAK,317,89
152,5,PHI,179,94
153,5,PIT,380,61
154,5,SDG,359,72
155,5,SEA,270,72
156,5,SFO,162,151
157,5,TAM,219,113
158,5,TEN,163,235
159,5,WAS,260,60
160,6,ARI,225,171
161,6,ATL,335,52
162,6,BAL,307,98
163,6,BUF,179,313
164,6,CAR,322,103
165,6,CHI,302,92
166,6,CIN,254,120
167,6,CLE,337,40
168,6,DAL,247,191
169,6,DEN,230,84
170,6,DET,270,83
171,6,GNB,326,103
172,6,HOU,269,158
173,6,IND,252,161
174,6,JAX,246,105
175,6,KAN,214,112
176,6,LAR,321,76
177,6,MIA,252,222
178,6,MIN,224,93
179,6,NOR,367,104
180,6,NWE,376,79
181,6,NYG,403,38
182,6,NYJ,205,33
183,6,OAK,225,64
184,6,PHI,138,101
185,6,PIT,189,128
186,6,SDG,178,99
187,6,SEA,225,52
188,6,SFO,187,133
189,6,TAM,269,249
190,6,TEN,284,137
191,6,WAS,263,230
192,7,ARI,342,132
193,7,ATL,273,130
194,7,BAL,248,11
195,7,BUF,221,67
196,7,CAR,212,141
197,7,CHI,130,69
198,7,CIN,308,271
199,7,CLE,182,180
200,7,DAL,287,187
201,7,DEN,157,190
202,7,DET,266,94
203,7,GNB,246,108
204,7,HOU,131,140
205,7,IND,353,81
206,7,JAX,337,48
207,7,KAN,350,88
208,7,LAR,291,74
209,7,MIA,204,256
210,7,MIN,228,57
211,7,NOR,265,123
212,7,NWE,222,140
213,7,NYG,196,36
214,7,NYJ,215,155
215,7,OAK,200,144
216,7,PHI,202,97
217,7,PIT,281,94
218,7,SDG,371,78
219,7,SEA,296,74
220,7,SFO,143,160
221,7,TAM,180,102
222,7,TEN,232,124
223,7,WAS,301,130
224,8,ARI,363,24
225,8,ATL,288,90
226,8,BAL,250,50
227,8,BUF,218,167
228,8,CAR,225,59
229,8,CHI,252,158
230,8,CIN,284,152
231,8,CLE,345,68
232,8,DAL,255,168
233,8,DEN,276,57
234,8,DET,240,58
235,8,GNB,297,116
236,8,HOU,186,105
237,8,IND,210,105
238,8,JAX,252,205
239,8,KAN,187,62
240,8,LAR,296,59
241,8,MIA,149,137
242,8,MIN,273,78
243,8,NOR,323,248
244,8,NWE,315,72
245,8,NYG,257,54
246,8,NYJ,228,171
247,8,OAK,513,128
248,8,PHI,364,96
249,8,PIT,264,36
250,8,SDG,267,123
251,8,SEA,282,33
252,8,SFO,398,93
253,8,TAM,336,70
254,8,TEN,280,214
255,8,WAS,458,100
256,9,ARI,376,80
257,9,ATL,344,136
258,9,BAL,296,119
259,9,BUF,289,162
260,9,CAR,261,99
261,9,CHI,182,122
262,9,CIN,204,78
263,9,CLE,203,45
264,9,DAL,319,127
265,9,DEN,283,33
266,9,DET,219,97
267,9,GNB,379,69
268,9,HOU,99,181
269,9,IND,281,85
270,9,JAX,265,80
271,9,KAN,178,91
272,9,LAR,165,125
273,9,MIA,240,106
274,9,MIN,307,47
275,9,NOR,303,80
276,9,NWE,316,81
277,9,NYG,240,122
278,9,NYJ,213,140
279,9,OAK,184,218
280,9,PHI,231,208
281,9,PIT,408,48
282,9,SDG,275,208
283,9,SEA,348,96
284,9,SFO,210,83
285,9,TAM,312,80
286,9,TEN,313,80
287,9,WAS,262,128
288,10,ARI,198,135
289,10,ATL,267,48
290,10,BAL,269,101
291,10,BUF,166,183
292,10,CAR,192,50
293,10,CHI,252,93
294,10,CIN,207,93
295,10,CLE,150,33
296,10,DAL,301,118
297,10,DEN,258,103
