,date,game_number,team,passing_yards,rushing_yards
0,2016-09-08,1,CAR,194,157
1,2016-09-08,1,DEN,178,148
2,2016-09-11,1,ARI,271,92
3,2016-09-11,1,ATL,334,52
4,2016-09-11,1,BAL,258,83
5,2016-09-11,1,BUF,111,65
6,2016-09-11,1,CHI,216,73
7,2016-09-11,1,CIN,366,57
8,2016-09-11,1,CLE,190,120
9,2016-09-11,1,DAL,227,101
10,2016-09-11,1,DET,340,116
11,2016-09-11,1,GB,199,95
12,2016-09-11,1,HOU,231,129
13,2016-09-11,1,IND,385,82
14,2016-09-11,1,JAX,320,48
15,2016-09-11,1,KC,363,83
16,2016-09-11,1,MIA,186,64
17,2016-09-11,1,MIN,236,65
18,2016-09-11,1,NO,423,88
19,2016-09-11,1,NE,264,106
20,2016-09-11,1,NYG,207,113
21,2016-09-11,1,NYJ,189,152
22,2016-09-11,1,OAK,319,167
23,2016-09-11,1,PHI,278,133
24,2016-09-11,1,SDG,243,155
25,2016-09-11,1,SEA,258,112
26,2016-09-11,1,TB,281,90
27,2016-09-11,1,TEN,271,64
28,2016-09-12,1,LAR,130,65
29,2016-09-12,1,PIT,300,147
30,2016-09-12,1,SF,170,150
31,2016-09-12,1,WAS,329,55
32,2016-09-15,2,BUF,307,86
33,2016-09-15,2,NYJ,374,123
34,2016-09-18,2,ARI,315,105
35,2016-09-18,2,ATL,396,139
36,2016-09-18,2,BAL,302,80
37,2016-09-18,2,CAR,353,176
38,2016-09-18,2,CIN,366,46
39,2016-09-18,2,CLE,260,145
40,2016-09-18,2,DAL,292,102
41,2016-09-18,2,DEN,266,134
42,2016-09-18,2,DET,260,137
43,2016-09-18,2,GB,213,83
44,2016-09-18,2,HOU,268,97
45,2016-09-18,2,IND,197,83
46,2016-09-18,2,JAX,329,69
47,2016-09-18,2,KC,186,119
48,2016-09-18,2,LAR,239,64
49,2016-09-18,2,MIA,387,70
50,2016-09-18,2,MIN,286,30
51,2016-09-18,2,NO,263,41
52,2016-09-18,2,NE,324,161
53,2016-09-18,2,NYG,368,64
54,2016-09-18,2,OAK,299,155
55,2016-09-18,2,PIT,259,124
56,2016-09-18,2,SDG,220,150
57,2016-09-18,2,SEA,254,67
58,2016-09-18,2,SF,243,65
59,2016-09-18,2,TB,243,85
60,2016-09-18,2,TEN,238,139
61,2016-09-18,2,WAS,364,82
62,2016-09-19,2,CHI,235,64
63,2016-09-19,2,PHI,190,100
64,2016-09-22,3,HOU,196,109
65,2016-09-22,3,NE,103,185
66,2016-09-25,3,ARI,287,88
67,2016-09-25,3,BAL,214,84
68,2016-09-25,3,BUF,119,208
69,2016-09-25,3,CAR,265,105
70,2016-09-25,3,CHI,317,78
71,2016-09-25,3,CIN,206,143
72,2016-09-25,3,CLE,279,169
73,2016-09-25,3,DAL,248,199
74,2016-09-25,3,DEN,312,52
75,2016-09-25,3,DET,385,50
76,2016-09-25,3,GB,205,123
77,2016-09-25,3,IND,331,93
78,2016-09-25,3,JAX,194,48
79,2016-09-25,3,KC,237,72
80,2016-09-25,3,LAR,190,137
81,2016-09-25,3,MIA,319,115
82,2016-09-25,3,MIN,171,58
83,2016-09-25,3,NYG,350,120
84,2016-09-25,3,NYJ,188,117
85,2016-09-25,3,OAK,249,123
86,2016-09-25,3,PHI,301,125
87,2016-09-25,3,PIT,257,29
88,2016-09-25,3,SDG,326,37
89,2016-09-25,3,SEA,308,127
90,2016-09-25,3,SF,119,135
91,2016-09-25,3,TB,405,83
92,2016-09-25,3,TEN,214,181
93,2016-09-25,3,WAS,327,90
94,2016-09-26,3,ATL,240,217
95,2016-09-26,3,NO,376,115
96,2016-09-29,4,CIN,296,77
97,2016-09-29,4,MIA,189,62
98,2016-10-02,4,ARI,325,118
99,2016-10-02,4,ATL,503,90
100,2016-10-02,4,BAL,298,130
101,2016-10-02,4,BUF,246,134
102,2016-10-02,4,CAR,337,49
103,2016-10-02,4,CHI,302,114
104,2016-10-02,4,CLE,223,163
105,2016-10-02,4,DAL,245,194
106,2016-10-02,4,DEN,238,89
107,2016-10-02,4,DET,213,66
108,2016-10-02,4,HOU,254,115
109,2016-10-02,4,IND,234,94
110,2016-10-02,4,JAX,207,136
111,2016-10-02,4,KC,287,87
112,2016-10-02,4,LAR,266,41
113,2016-10-02,4,NO,207,83
114,2016-10-02,4,NE,205,90
115,2016-10-02,4,NYJ,261,58
116,2016-10-02,4,OAK,199,62
117,2016-10-02,4,PIT,300,149
118,2016-10-02,4,SDG,321,38
119,2016-10-02,4,SEA,309,66
120,2016-10-02,4,SF,196,106
121,2016-10-02,4,TB,179,72
122,2016-10-02,4,TEN,202,124
123,2016-10-02,4,WAS,183,145
124,2016-10-03,4,MIN,262,104
125,2016-10-03,4,NYG,261,78
126,2016-10-06,5,ARI,124,172
127,2016-10-06,5,SF,162,151
128,2016-10-09,4,GB,259,147
129,2016-10-09,4,PHI,238,116
130,2016-10-09,5,ATL,267,122
131,2016-10-09,5,BAL,210,118
132,2016-10-09,5,BUF,124,193
133,2016-10-09,5,CHI,397,125
134,2016-10-09,5,CIN,269,96
135,2016-10-09,5,CLE,249,27
136,2016-10-09,5,DAL,227,180
137,2016-10-09,5,DEN,223,84
138,2016-10-09,5,DET,180,80
139,2016-10-09,5,HOU,184,59
140,2016-10-09,5,IND,322,98
141,2016-10-09,5,LAR,271,102
142,2016-10-09,5,MIA,191,51
143,2016-10-09,5,MIN,271,96
144,2016-10-09,5,NE,406,98
145,2016-10-09,5,NYG,199,43
146,2016-10-09,5,NYJ,255,72
147,2016-10-09,5,OAK,317,89
148,2016-10-09,5,PIT,380,61
149,2016-10-09,5,SDG,359,72
150,2016-10-09,5,TEN,163,235
151,2016-10-09,5,WAS,260,60
152,2016-10-10,5,CAR,278,136
153,2016-10-10,5,TB,219,113
154,2016-10-13,6,DEN,230,84
155,2016-10-13,6,SDG,178,99
156,2016-10-16,5,GB,294,78
157,2016-10-16,5,JAX,271,54
158,2016-10-16,5,KC,224,183
159,2016-10-16,5,NO,465,63
160,2016-10-16,5,PHI,179,94
161,2016-10-16,5,SEA,270,72
162,2016-10-16,6,ATL,335,52
163,2016-10-16,6,BAL,307,98
164,2016-10-16,6,BUF,179,313
165,2016-10-16,6,CAR,322,103
166,2016-10-16,6,CHI,302,92
167,2016-10-16,6,CIN,254,120
168,2016-10-16,6,CLE,337,40
169,2016-10-16,6,DAL,247,191
170,2016-10-16,6,DET,270,83
171,2016-10-16,6,HOU,269,158
172,2016-10-16,6,IND,252,161
173,2016-10-16,6,LAR,321,76
174,2016-10-16,6,MIA,252,222
175,2016-10-16,6,NE,376,79
176,2016-10-16,6,NYG,403,38
177,2016-10-16,6,OAK,225,64
178,2016-10-16,6,PIT,189,128
179,2016-10-16,6,SF,187,133
180,2016-10-16,6,TEN,284,137
181,2016-10-16,6,WAS,263,230
182,2016-10-17,6,ARI,225,171
183,2016-10-17,6,NYJ,205,33
184,2016-10-20,6,GB,326,103
185,2016-10-20,7,CHI,130,69
186,2016-10-23,6,JAX,246,105
187,2016-10-23,6,KC,214,112
188,2016-10-23,6,MIN,224,93
189,2016-10-23,6,NO,367,104
190,2016-10-23,6,PHI,138,101
191,2016-10-23,6,SEA,225,52
192,2016-10-23,6,TB,269,249
