,schedule_date,schedule_season,schedule_week,team,score,opponent_score,opponent_team,team_favorite_id,spread_favorite,over_under_line,margin,home_team,id
0,2010-09-09,2010,1,MIN,9.0,14.0,NO,NO,-5.0,49.5,-5.0,NO,MIN2010-09-09
0,2010-09-09,2010,1,NO,14.0,9.0,MIN,NO,-5.0,49.5,5.0,NO,NO2010-09-09
10,2010-09-12,2010,1,ARI,17.0,13.0,LAR,ARI,-3.0,39.5,4.0,LAR,ARI2010-09-12
8,2010-09-12,2010,1,ATL,9.0,15.0,PIT,ATL,-1.5,39.5,-6.0,PIT,ATL2010-09-12
1,2010-09-12,2010,1,BUF,10.0,15.0,MIA,MIA,-3.0,39.0,-5.0,BUF,BUF2010-09-12
6,2010-09-12,2010,1,CAR,18.0,31.0,NYG,NYG,-6.0,41.0,-13.0,NYG,CAR2010-09-12
2,2010-09-12,2010,1,CHI,19.0,14.0,DET,CHI,-6.5,45.0,5.0,CHI,CHI2010-09-12
5,2010-09-12,2010,1,CIN,24.0,38.0,NE,NE,-5.5,45.0,-14.0,NE,CIN2010-09-12
11,2010-09-12,2010,1,CLE,14.0,17.0,TB,TB,-2.5,37.0,-3.0,TB,CLE2010-09-12
13,2010-09-12,2010,1,DAL,7.0,13.0,WAS,DAL,-3.0,40.0,-6.0,WAS,DAL2010-09-12
4,2010-09-12,2010,1,DEN,17.0,24.0,JAX,JAX,-3.0,41.5,-7.0,JAX,DEN2010-09-12
2,2010-09-12,2010,1,DET,14.0,19.0,CHI,CHI,-6.5,45.0,-5.0,CHI,DET2010-09-12
7,2010-09-12,2010,1,GB,27.0,20.0,PHI,GB,-3.0,48.0,7.0,PHI,GB2010-09-12
3,2010-09-12,2010,1,HOU,34.0,24.0,IND,IND,-1.0,48.0,10.0,HOU,HOU2010-09-12
3,2010-09-12,2010,1,IND,24.0,34.0,HOU,IND,-1.0,48.0,-10.0,HOU,IND2010-09-12
4,2010-09-12,2010,1,JAX,24.0,17.0,DEN,JAX,-3.0,41.5,7.0,JAX,JAX2010-09-12
10,2010-09-12,2010,1,LAR,13.0,17.0,ARI,ARI,-3.0,39.5,-4.0,LAR,LAR2010-09-12
1,2010-09-12,2010,1,MIA,15.0,10.0,BUF,MIA,-3.0,39.0,5.0,BUF,MIA2010-09-12
5,2010-09-12,2010,1,NE,38.0,24.0,CIN,NE,-5.5,45.0,14.0,NE,NE2010-09-12
6,2010-09-12,2010,1,NYG,31.0,18.0,CAR,NYG,-6.0,41.0,13.0,NYG,NYG2010-09-12
12,2010-09-12,2010,1,OAK,13.0,38.0,TEN,TEN,-6.5,40.0,-25.0,TEN,OAK2010-09-12
7,2010-09-12,2010,1,PHI,20.0,27.0,GB,GB,-3.0,48.0,-7.0,PHI,PHI2010-09-12
8,2010-09-12,2010,1,PIT,15.0,9.0,ATL,ATL,-1.5,39.5,6.0,PIT,PIT2010-09-12
9,2010-09-12,2010,1,SEA,31.0,6.0,SF,SF,-3.0,37.0,25.0,SEA,SEA2010-09-12
9,2010-09-12,2010,1,SF,6.0,31.0,SEA,SF,-3.0,37.0,-25.0,SEA,SF2010-09-12
11,2010-09-12,2010,1,TB,17.0,14.0,CLE,TB,-2.5,37.0,3.0,TB,TB2010-09-12
12,2010-09-12,2010,1,TEN,38.0,13.0,OAK,TEN,-6.5,40.0,25.0,TEN,TEN2010-09-12
13,2010-09-12,2010,1,WAS,13.0,7.0,DAL,DAL,-3.0,40.0,6.0,WAS,WAS2010-09-12
15,2010-09-13,2010,1,BAL,10.0,9.0,NYJ,NYJ,-1.0,36.5,1.0,NYJ,BAL2010-09-13
14,2010-09-13,2010,1,KC,21.0,14.0,LAC,LAC,-4.0,45.5,7.0,KC,KC2010-09-13
