,schedule_date,schedule_season,schedule_week,team_x,score,opponent_score,margin,home_team,id,date,game_number,team_y,passing_yards,rushing_yards
0,2016-09-08,2016,1,CAR,20.0,21.0,-1.0,DEN,CAR2016-09-08,2016-09-08,1,CAR,194,157
1,2016-09-08,2016,1,DEN,21.0,20.0,1.0,DEN,DEN2016-09-08,2016-09-08,1,DEN,178,148
2,2016-09-11,2016,1,ARI,21.0,23.0,-2.0,ARI,ARI2016-09-11,2016-09-11,1,ARI,271,92
3,2016-09-11,2016,1,ATL,24.0,31.0,-7.0,ATL,ATL2016-09-11,2016-09-11,1,ATL,334,52
4,2016-09-11,2016,1,BAL,13.0,7.0,6.0,BAL,BAL2016-09-11,2016-09-11,1,BAL,258,83
5,2016-09-11,2016,1,BUF,7.0,13.0,-6.0,BAL,BUF2016-09-11,2016-09-11,1,BUF,111,65
6,2016-09-11,2016,1,CHI,14.0,23.0,-9.0,HOU,CHI2016-09-11,2016-09-11,1,CHI,216,73
7,2016-09-11,2016,1,CIN,23.0,22.0,1.0,NYJ,CIN2016-09-11,2016-09-11,1,CIN,366,57
8,2016-09-11,2016,1,CLE,10.0,29.0,-19.0,PHI,CLE2016-09-11,2016-09-11,1,CLE,190,120
9,2016-09-11,2016,1,DAL,19.0,20.0,-1.0,DAL,DAL2016-09-11,2016-09-11,1,DAL,227,101
10,2016-09-11,2016,1,DET,39.0,35.0,4.0,IND,DET2016-09-11,2016-09-11,1,DET,340,116
11,2016-09-11,2016,1,GB,27.0,23.0,4.0,JAX,GB2016-09-11,2016-09-11,1,GB,199,95
12,2016-09-11,2016,1,HOU,23.0,14.0,9.0,HOU,HOU2016-09-11,2016-09-11,1,HOU,231,129
13,2016-09-11,2016,1,IND,35.0,39.0,-4.0,IND,IND2016-09-11,2016-09-11,1,IND,385,82
14,2016-09-11,2016,1,JAX,23.0,27.0,-4.0,JAX,JAX2016-09-11,2016-09-11,1,JAX,320,48
15,2016-09-11,2016,1,KC,33.0,27.0,6.0,KC,KC2016-09-11,2016-09-11,1,KC,363,83
16,2016-09-11,2016,1,MIA,10.0,12.0,-2.0,SEA,MIA2016-09-11,2016-09-11,1,MIA,186,64
17,2016-09-11,2016,1,MIN,25.0,16.0,9.0,TEN,MIN2016-09-11,2016-09-11,1,MIN,236,65
18,2016-09-11,2016,1,NE,23.0,21.0,2.0,ARI,NE2016-09-11,2016-09-11,1,NE,264,106
